user_id,monthly_income,current_balance,curr_dining,last_dining,dining_change_pct,curr_shopping,last_shopping,shopping_delta_amt,total_spend,expense_ratio,savings_ratio,goal_target,months_to_goal,goal_shortfall,predicted_balance_15d,agent_ground_truth_advice
1,170796,488285,7228,8164,-11.5,9813,11349,-1536,49825,0.29,0.71,1000000,7.5,511715,463372,Goal reach in 7.5 months. Excellent budget discipline!
2,198120,80672,13902,11503,20.9,18054,19400,-1346,51166,0.26,0.74,500000,3.3,419328,55089,Goal reach in 3.3 months. Excellent budget discipline!
3,156003,422772,6294,6942,-9.3,3143,3884,-741,22324,0.14,0.86,100000,0.1,0,411610,Goal reach in 0.1 months. Excellent budget discipline!
4,172193,393483,12790,12541,2.0,24825,23765,1060,63289,0.37,0.63,50000,0.1,0,361838,Goal reach in 0.1 months. Excellent budget discipline!
5,172315,430762,6401,7168,-10.7,3935,3405,530,46012,0.27,0.73,100000,0.1,0,407756,Goal reach in 0.1 months. Excellent budget discipline!
6,167282,281417,7034,5650,24.5,15278,16781,-1503,58387,0.35,0.65,1000000,8.7,718583,252224,Goal reach in 8.7 months. Excellent budget discipline!
7,41714,138609,8995,9672,-7.0,22738,24908,-2170,46824,1.12,0.0,500000,-1.0,500000,115197,Great! Shopping reduced by ₹2170. Falling short of goal due to overspending. High risk: Expense ratio at 70%+. Reduce wants.
8,132100,203643,6080,5864,3.7,12535,13665,-1130,33208,0.25,0.75,100000,0.6,0,187039,Goal reach in 0.6 months. Excellent budget discipline!
9,135610,479672,6584,6823,-3.5,9083,8318,765,25188,0.19,0.81,50000,0.1,0,467078,Goal reach in 0.1 months. Excellent budget discipline!
10,165648,153319,5258,6031,-12.8,11578,15372,-3794,33507,0.2,0.8,50000,0.1,0,136566,Great! Shopping reduced by ₹3794. Goal reach in 0.1 months. Excellent budget discipline!
11,158749,241073,10935,11646,-6.1,14900,11729,3171,43439,0.27,0.73,100000,0.4,0,219354,Goal reach in 0.4 months. Excellent budget discipline!
12,102416,135516,11918,10078,18.3,6368,8164,-1796,36273,0.35,0.65,100000,1.1,0,117380,Goal reach in 1.1 months. Excellent budget discipline!
13,120228,350474,2887,2617,10.3,20069,18490,1579,59836,0.5,0.5,500000,7.1,149526,320556,Goal reach in 7.1 months. Excellent budget discipline!
14,110855,71066,7364,6402,15.0,5125,6722,-1597,49027,0.44,0.56,100000,1.4,28934,46552,Goal reach in 1.4 months. Excellent budget discipline!
15,52712,64613,14588,15151,-3.7,16538,13237,3301,50468,0.96,0.04,100000,38.8,35387,39379,Goal reach in 38.8 months. High risk: Expense ratio at 70%+. Reduce wants.
16,192104,483805,11703,13770,-15.0,13480,15283,-1803,52770,0.27,0.73,50000,0.1,0,457420,Goal reach in 0.1 months. Excellent budget discipline!
17,118204,383451,2419,3059,-20.9,7350,10127,-2777,42952,0.36,0.64,500000,5.6,116549,361975,Great! Shopping reduced by ₹2777. Goal reach in 5.6 months. Excellent budget discipline!
18,139771,309872,2049,2098,-2.4,22051,22506,-455,51857,0.37,0.63,1000000,10.7,690128,283944,Goal reach in 10.7 months. Excellent budget discipline!
19,120235,212985,13745,10231,34.3,9278,10601,-1323,46048,0.38,0.62,100000,0.8,0,189961,Dining increased by 34%. Goal reach in 0.8 months. Excellent budget discipline!
20,54329,66999,8873,12167,-27.1,11752,12034,-282,29044,0.53,0.47,500000,19.2,433001,52477,Goal reach in 19.2 months. Excellent budget discipline!
21,114957,413415,7559,6268,20.6,5820,5793,27,50780,0.44,0.56,100000,0.3,0,388025,Goal reach in 0.3 months. Excellent budget discipline!
22,47174,399169,4237,2816,50.5,16823,21558,-4735,64336,1.36,0.0,500000,-1.0,500000,367001,Dining increased by 50%. Great! Shopping reduced by ₹4735. Falling short of goal due to overspending. High risk: Expense ratio at 70%+. Reduce wants.
23,183980,133426,2523,2307,9.4,13082,12692,390,52577,0.29,0.71,50000,0.2,0,107138,Goal reach in 0.2 months. Excellent budget discipline!
24,158065,317271,11699,9685,20.8,24954,21028,3926,73558,0.47,0.53,500000,5.2,182729,280492,Goal reach in 5.2 months. Excellent budget discipline!
25,31895,284275,14429,9969,44.7,16433,13574,2859,65113,2.04,0.0,100000,-1.0,100000,251718,Dining increased by 45%. Falling short of goal due to overspending. High risk: Expense ratio at 70%+. Reduce wants.
26,43967,126138,5773,3573,61.6,16453,12312,4141,37400,0.85,0.15,1000000,148.4,873862,107438,Dining increased by 62%. Goal reach in 148.4 months. High risk: Expense ratio at 70%+. Reduce wants.
27,150302,269425,5080,5781,-12.1,16319,18931,-2612,38731,0.26,0.74,1000000,8.5,730575,250060,Great! Shopping reduced by ₹2612. Goal reach in 8.5 months. Excellent budget discipline!
28,195663,77270,4664,6333,-26.4,16638,22031,-5393,64906,0.33,0.67,1000000,7.5,922730,44817,Great! Shopping reduced by ₹5393. Goal reach in 7.5 months. Excellent budget discipline!
29,35803,404662,10787,8092,33.3,17148,10710,6438,41929,1.17,0.0,1000000,-1.0,1000000,383698,Dining increased by 33%. Falling short of goal due to overspending. High risk: Expense ratio at 70%+. Reduce wants.
