user_id,monthly_income,current_balance,food_expense_monthly,transport_expense_monthly,shopping_expense_monthly,utilities_expense_monthly,rent_bill_upcoming,internet_bill_upcoming,electricity_bill_upcoming,subscription_netflix,subscription_spotify,subscription_prime,other_upcoming_bills,predicted_balance_15_days,last_month_dining,last_month_shopping
1,43101,12932,11480,2646,20157,5893,0,800,1334,0,119,599,4808,-14816.0,9638.52,22888.63
2,54322,142340,13374,2314,11675,9426,12000,800,1169,649,119,599,1671,106938.5,14994.01,10973.29
3,60045,59165,2947,3354,13907,6351,25000,800,1120,649,0,0,2613,15703.5,3048.25,16313.03
4,120513,15202,5541,7750,3099,4493,35000,800,952,199,0,299,277,-32766.5,3899.53,2499.7
5,71874,144229,6556,6936,17244,2803,8000,800,2534,199,119,299,2382,113126.5,5148.19,13623.61
6,58465,131319,7384,3230,22863,5334,0,800,3831,199,0,299,4004,102780.5,7139.98,26387.36
7,120943,154455,5430,5480,7286,7183,35000,800,2757,499,119,599,3582,98409.5,4989.92,7670.72
8,122394,54728,4818,1428,23915,3310,25000,800,891,0,119,599,2429,8154.5,4629.55,29471.33
9,91692,175607,5952,2964,3859,3559,25000,800,1839,499,179,599,4675,133849.0,6927.5,2960.78
10,66299,5429,13505,6509,9176,6384,25000,800,3225,0,179,599,4164,-46325.0,13302.28,9713.82
11,39585,167745,2277,7903,3613,8278,35000,800,2830,649,119,299,1782,115230.5,1599.76,3859.42
12,124637,110530,6458,4655,8816,7159,35000,800,3840,499,0,299,3508,53040.0,6330.79,10681.75
13,74412,115056,13224,6260,8156,3528,35000,800,2748,199,179,0,168,60378.0,16238.49,7745.73
14,120748,21275,5735,1802,8851,5102,8000,800,3811,199,0,599,2686,-5565.0,4142.95,7956.36
15,128546,81975,2590,1762,13247,3529,0,800,1107,499,179,0,2469,66357.0,3134.52,13335.04
16,45372,43998,3731,4428,23033,5477,35000,800,3759,499,119,299,3104,-17916.5,4639.8,27718.83
17,91835,78508,3115,1268,2820,5528,12000,800,1256,649,179,0,668,56590.5,3148.49,3098.22
18,79729,100587,10020,4473,20112,2954,35000,800,1116,649,119,599,3024,40500.5,9374.82,20394.5
19,29427,102521,12080,7412,16368,6881,25000,800,3544,199,179,299,4084,47045.5,11971.47,12683.24
20,116068,102353,7948,2384,10736,7824,35000,800,3235,199,0,0,1575,47098.0,9465.46,11214.23
21,106119,175317,12902,7367,16706,7430,0,800,2965,0,0,299,1692,147358.5,12166.86,16163.63
22,113219,124574,10817,1240,23104,5227,0,800,3392,0,0,0,2688,97500.0,11131.13,18483.13
23,56263,165697,13097,3744,15303,9694,12000,800,932,0,179,299,2854,127714.0,9789.79,14341.26
24,60874,156237,9894,2399,22051,6050,25000,800,1439,199,119,0,1474,107009.0,9335.04,22994.26
25,69630,55381,9657,3358,8762,8874,8000,800,1864,199,0,0,4508,24684.5,7451.93,9310.31
26,28734,6269,12500,4402,15258,6704,0,800,3553,199,0,299,2189,-20203.0,9653.31,12033.71
27,72002,40346,5097,2199,9119,4700,12000,800,2933,649,0,0,1066,12340.5,3649.03,10687.74
28,47111,23376,13545,1814,6184,6255,8000,800,2710,199,119,299,3921,-6571.0,10225.78,4702.82
29,27610,167298,14670,4343,15140,4977,12000,800,1318,0,0,0,4055,129560.0,10990.81,13510.66
30,43668,74383,11373,6036,6224,8557,8000,800,3312,199,0,599,868,44510.0,8180.59,5503.68
31,34320,48304,13131,2588,17447,9042,8000,800,1919,499,0,0,1060,14922.0,16653.45,19925.2
32,73395,161095,4243,5066,18887,2796,25000,800,3354,0,0,299,295,115851.0,4157.19,16688.72
33,140825,73349,13672,1424,4370,4549,0,800,983,499,0,599,3825,54635.5,12307.5,4684.72
34,98084,37870,12746,7854,7811,9758,0,800,2762,199,179,0,4479,10366.5,10865.54,6388.12
35,79012,104345,13705,3147,12351,2293,25000,800,3244,649,119,299,401,58085.0,12570.42,9607.16
36,93832,122105,11570,4416,18456,5236,25000,800,3881,649,119,299,3145,68373.0,11034.54,18226.35
37,108810,50429,14473,7375,10877,7402,8000,800,1653,649,0,599,2839,15825.5,10853.1,11213.82
38,141654,182377,6164,4182,5606,8755,12000,800,3992,0,0,599,847,151785.5,7137.47,4852.79
39,98484,73117,11350,3599,3597,7768,0,800,3845,0,119,599,4895,49702.0,12778.44,4594.1
40,92204,136065,9486,5632,7634,6173,0,800,1245,0,119,599,4278,114561.5,10261.26,8538.66
41,107363,168149,13301,6982,7700,9115,0,800,3745,0,179,599,2603,141674.0,14275.72,5450.09
42,101980,58668,8097,2151,2549,7835,8000,800,3148,0,0,0,3626,32778.0,7223.25,2392.98
43,117227,63889,6562,4830,1320,3221,25000,800,2562,649,179,0,4970,21762.5,8332.38,1388.58
44,112724,36981,8814,1322,5055,3354,35000,800,1535,0,0,0,2423,-12049.5,6230.66,4386.04
45,39006,46731,6535,2620,17217,5511,8000,800,3119,649,179,0,1559,16483.5,8193.1,15495.5
46,149152,179807,12675,1598,24123,2782,0,800,2067,649,119,599,698,154286.0,10181.52,23929.06
47,29924,119536,13906,6023,10816,5992,12000,800,3164,499,119,299,4080,80206.5,13344.7,13720.52
48,41189,40627,13538,2462,21580,6726,8000,800,3671,649,119,299,2230,2706.0,16446.37,20516.01
49,118549,116234,9409,4870,5888,7123,25000,800,1543,649,179,0,2832,71586.0,7401.21,6774.29
50,21134,161858,4109,1310,4082,4418,25000,800,2004,0,119,0,3105,123870.5,3982.4,3819.7
51,36262,119011,14652,6362,14304,7174,25000,800,3808,499,0,0,1724,65934.0,17695.9,11917.97
52,55391,26935,9787,4167,18981,6652,35000,800,1578,0,179,599,4082,-35096.5,9430.73,13694.44
53,39793,122343,3719,3848,24417,2032,35000,800,3557,499,119,599,2601,62160.0,3193.73,27410.24
54,61050,35833,6193,5446,12250,6950,12000,800,2796,649,179,0,205,3784.5,7134.94,11438.85
55,60964,26341,7592,2049,7869,6267,25000,800,3388,0,119,599,1784,-17237.5,9512.18,5821.16
56,108043,75595,5140,3323,21284,2220,35000,800,1086,199,179,299,2307,19741.5,5837.29,22810.82
57,118262,118824,10369,5066,2440,6929,35000,800,3834,0,0,299,4720,61769.0,11920.96,2499.86
58,136497,60972,8953,4431,17124,2902,25000,800,3634,499,119,299,2369,11547.0,8996.81,13292.24
59,56847,107289,4851,4997,15321,8492,8000,800,3143,649,0,299,596,76971.5,4776.87,10731.7
60,55169,147394,4378,3728,15748,9984,12000,800,983,0,0,599,1866,114227.0,3336.39,17518.93
61,70627,64954,2809,7309,12049,7798,35000,800,2802,649,0,299,2988,7433.5,2005.45,11500.25
62,25614,135011,5978,4546,21466,5985,35000,800,3577,199,0,299,3858,72290.5,7229.53,27368.5
63,28573,156324,5762,4234,20656,9648,8000,800,3846,199,179,299,2881,119970.0,4575.85,24684.41
64,32631,11437,9774,7737,10486,6813,12000,800,1315,499,0,299,2761,-23642.0,11131.28,8156.52
65,72098,25473,6066,5581,6482,2212,8000,800,1295,499,119,0,4581,8.5,7666.77,8325.66
66,55469,37489,2148,5050,18266,7092,8000,800,2400,199,179,599,3294,5740.0,1641.0,23439.44
67,59321,135133,13136,2769,11801,5483,25000,800,3511,199,119,0,3344,85565.5,11172.59,14588.79
68,100479,126418,10474,2495,11396,4356,8000,800,1630,199,179,599,993,99657.5,8732.52,12850.15
69,106416,129489,7413,4138,20675,6638,0,800,821,649,179,599,526,106483.0,7676.33,21648.36
70,134361,155448,8514,1603,23609,8553,8000,800,1486,649,179,299,2014,120881.5,7314.33,22240.92
71,132970,56214,11476,3451,24700,9706,35000,800,3331,0,0,299,420,-8302.5,12989.23,19944.73
72,83570,59761,11275,2926,11094,9601,12000,800,1939,199,119,599,2845,23812.0,12405.22,10204.76
73,23354,142819,7470,4365,2477,9014,12000,800,1332,649,119,0,1495,114761.0,6157.83,2786.24
74,141597,126772,10544,6706,2851,3776,8000,800,1395,649,179,299,1937,101574.5,9954.29,2345.66
75,143528,23681,8658,2188,17851,7693,0,800,2176,199,0,599,1357,355.0,9172.74,18220.98
76,89100,142697,12597,5547,4627,6418,12000,800,1861,0,179,299,4093,108870.5,9003.16,4718.87
77,75839,189706,2002,6595,6366,7061,0,800,1206,0,179,0,2212,174297.0,2378.87,5459.55
78,115960,193107,11080,7817,13926,2469,25000,800,2937,499,179,0,2507,143539.0,9085.67,11455.73
79,52499,94393,6225,5436,20713,4133,0,800,1819,0,119,299,2519,70583.5,7771.64,22182.49
80,44239,44038,2419,4688,9019,3361,12000,800,3311,199,119,299,3728,13838.5,2769.13,6331.18
81,99795,121921,9305,2575,23521,3001,25000,800,1972,0,179,299,961,73509.0,7675.56,24700.18
82,43089,111914,2128,7188,6776,5870,25000,800,2394,0,0,299,1776,70664.0,2012.95,7928.86
83,123665,100887,9808,5227,3040,8511,8000,800,3101,0,119,299,141,75134.0,7101.44,2517.57
84,115316,58990,2516,5061,14046,9667,25000,800,1214,499,119,599,3442,11672.0,2823.23,13128.09
85,86007,144487,4496,2359,13319,5069,12000,800,949,499,119,599,3555,113344.5,4566.36,11128.6
86,120533,26736,12385,5693,13013,2123,12000,800,3369,0,0,599,702,-7341.0,9738.72,10000.49
87,50603,93923,3747,6284,13781,8156,12000,800,1698,649,179,0,3289,59324.0,2672.91,17860.13
88,56065,58094,11183,7460,8300,2682,35000,800,3978,0,179,299,2615,410.5,10555.27,7486.63
89,27952,84866,4385,4311,22791,9485,25000,800,2131,199,0,0,2823,33427.0,3350.41,21490.75
90,114310,129536,9394,5993,11954,5088,8000,800,3458,499,119,299,2837,97309.5,9775.65,14289.95
91,29588,99368,5543,7310,21793,8599,25000,800,1983,649,0,299,137,48877.5,6906.53,22165.85
92,29442,58872,14001,7925,17317,7646,0,800,2944,499,119,0,4497,26568.5,14149.59,13254.21
93,47394,144922,3993,3490,23830,2093,12000,800,2338,649,0,0,2011,110421.0,3032.49,20476.0
94,61311,130217,4098,5310,12915,8356,12000,800,1059,649,179,0,2390,97800.5,3145.58,10449.31
95,23656,15342,6640,7897,24310,8913,12000,800,2135,199,119,299,1599,-25689.0,6121.47,27797.74
96,94210,117170,6112,3208,18552,7060,35000,800,3747,499,179,299,798,58382.0,4768.13,21301.45
97,101242,117669,6477,3122,15363,2734,35000,800,3811,499,179,599,943,61990.0,7103.29,15751.49
98,52516,178072,9071,3908,4133,7525,25000,800,1379,0,119,299,1128,137028.5,7003.41,3650.36
99,92899,156228,2018,6890,9693,8462,35000,800,1602,499,0,299,2809,101687.5,1413.43,11397.92
100,73137,101491,2212,4535,1550,4579,8000,800,1288,199,179,599,4966,79022.0,2132.38,1280.38
101,62671,28298,7991,4240,13377,8911,12000,800,1836,199,179,299,2287,-6561.5,7958.93,15805.02
102,64961,163375,9417,4014,6837,5876,25000,800,3655,499,0,599,3680,116070.0,9810.77,5808.99
103,101399,170381,12723,1928,9197,8795,0,800,3149,649,119,299,2466,146577.5,13450.66,7045.5
104,76789,75820,14118,7331,6031,2737,8000,800,1899,499,0,0,2988,46525.5,15813.6,7469.31
105,59503,42567,6354,3937,6920,6861,0,800,3329,0,179,0,3976,22247.0,7972.83,6225.21
106,86880,181904,12554,2698,24930,9884,35000,800,2617,499,0,299,3774,113882.0,14121.04,27679.22
107,101847,117517,4141,3639,2344,7867,8000,800,1619,0,119,299,3479,94205.5,4202.3,1979.01
108,124977,190420,9969,7739,24727,3127,8000,800,3555,649,179,299,1659,152498.0,10420.26,24287.38
109,121610,192785,11119,4729,20883,8436,35000,800,2449,649,119,0,1569,129615.5,13111.14,23589.28
110,95151,90966,2987,4705,13974,4724,35000,800,2259,0,119,0,2949,36644.0,2245.06,16203.28
111,34889,84002,3661,1925,13978,9017,12000,800,2240,199,179,599,172,53522.5,3171.39,9986.68
112,84394,183466,11176,1782,19816,8219,0,800,2930,0,119,299,882,157939.5,12430.96,24206.78
113,104081,65627,14854,3730,2874,7934,0,800,2648,0,119,299,2758,44307.0,14327.65,2181.23
114,73408,27682,7189,4099,3175,2105,12000,800,3794,0,179,299,4973,-2647.0,7836.16,2291.14
115,107368,138814,8905,7829,20837,8026,0,800,1674,649,0,299,3649,108944.5,7542.5,19395.45
116,57387,132130,2709,3480,21963,7308,0,800,889,649,179,0,2196,109687.0,3334.41,24839.27
117,52612,36718,2425,3539,22589,7310,25000,800,2976,499,119,599,1274,-12480.5,2920.18,25548.65
118,37518,174551,12093,6854,10193,4967,25000,800,3887,199,0,599,3075,123937.5,9554.38,7563.92
119,33627,151806,5492,7990,13616,4229,0,800,3620,649,0,0,3626,127447.5,5523.45,17180.31
120,96417,162190,13545,4874,18959,7073,35000,800,1967,199,0,299,4378,97321.5,15141.96,15407.09
121,45465,96916,8682,3371,22312,2367,0,800,937,499,0,599,1377,74338.0,11117.63,27129.39
122,82238,74618,3019,5032,12311,8082,25000,800,3862,649,0,599,730,28756.0,3283.47,11593.59
123,149639,148793,4555,7540,19926,5234,0,800,2187,649,119,299,1145,124966.5,4161.78,23439.86
124,62936,7733,2362,4140,14414,7616,8000,800,2453,199,179,299,4603,-23066.0,2077.37,16281.79
125,89063,29749,2335,6668,23812,7518,8000,800,3599,0,179,599,2592,-6186.5,2526.98,25265.72
126,70404,195774,7290,5041,23259,5524,12000,800,1608,0,0,299,1350,159160.0,7971.86,17934.96
127,147812,166356,14938,6459,10810,8518,25000,800,2173,0,179,299,115,117427.5,11481.1,8878.73
128,78855,66645,10467,5993,2167,9100,12000,800,2436,649,179,0,2800,33917.5,13603.56,1700.49
129,84237,43163,7275,3047,18943,4483,8000,800,3436,649,0,299,2515,10590.0,9010.28,24427.57
130,130681,146767,2369,2715,12253,9101,0,800,1391,649,119,0,1491,129098.0,2734.55,14378.46
131,26495,165109,8626,5421,9963,7225,35000,800,3592,199,179,0,3930,105791.5,6088.41,9339.79
132,149618,7223,12178,5230,9712,9687,35000,800,1943,0,0,599,1735,-51257.5,15382.43,10859.87
133,116833,69091,11542,4816,5514,2108,35000,800,1216,499,0,299,1027,18260.0,14198.62,6501.24
134,96588,20642,7910,3108,18569,6577,0,800,1253,649,179,599,4203,-5123.0,10157.32,14139.79
135,62220,184505,2299,1938,22943,9702,25000,800,904,649,119,299,1175,137118.0,2897.96,29482.78
136,89284,74171,12223,1347,7688,9569,35000,800,1649,199,179,0,301,20629.5,12182.29,7786.69
137,80416,80307,2336,3772,10869,8637,35000,800,2393,199,0,599,3908,24601.0,2700.08,12776.8
138,69342,105521,10705,5147,11764,9879,25000,800,2598,199,179,599,4676,52722.5,10503.41,12264.84
139,111562,70972,12404,3477,13567,9118,35000,800,2499,0,119,599,1194,11478.0,15323.77,16861.54
140,33554,58249,4423,6548,23579,4731,8000,800,3485,0,119,0,3410,22794.5,3273.63,25658.14
141,137209,185998,12524,1475,9120,5607,8000,800,1027,499,0,0,2841,158468.0,13225.33,10849.25
