user_id,monthly_income,current_balance,food_expense_monthly,transport_expense_monthly,shopping_expense_monthly,utilities_expense_monthly,rent_bill_upcoming,internet_bill_upcoming,electricity_bill_upcoming,subscription_netflix,subscription_spotify,subscription_prime,other_upcoming_bills,predicted_balance_15_days
1,35795,53831,8655,5033,7634,2386,9345,719,1658,649,119,599,4283,42502.5
2,20860,61191,3184,3273,10614,6230,11096,1343,2749,199,0,299,1546,42738.5
3,96820,35272,10480,4781,8482,2144,17906,870,2975,199,119,0,3355,45314.5
4,74886,16671,8343,3745,10282,3063,9300,715,3487,649,119,599,556,25972.5
5,26265,29048,2527,5268,3935,5834,8844,548,1702,649,119,0,4342,17194.5
6,102386,78274,2916,5869,3958,2546,21560,1296,2886,499,179,0,3477,91925.5
7,57194,27963,11900,1500,3859,3145,8362,962,578,499,0,299,3230,32428.0
8,107498,45954,5574,4334,8050,3163,11097,617,2120,649,0,599,3338,70722.5
9,64131,74309,5319,4506,9447,4012,8599,581,2056,0,179,299,1826,81192.5
10,80263,2717,3406,5278,5331,6590,17605,762,877,499,0,299,2198,10306.0
11,36023,13676,3241,2218,8199,6558,7258,1088,664,199,179,599,3356,8236.5
12,61090,6434,7206,4330,1657,5444,23503,1222,2063,499,119,299,4075,-4119.5
13,87221,51810,9249,5520,12770,5327,9640,995,1248,499,0,0,4219,62386.5
14,84820,6994,5133,3681,6185,4182,7288,1133,2220,499,119,599,3811,24144.5
15,20769,6234,2798,3382,4428,4423,20261,1336,3484,499,119,599,1894,-19089.0
16,79735,71300,3523,1498,9448,5001,23869,1101,2345,649,0,0,1752,71716.5
17,82955,45949,9209,784,7237,4559,21928,1269,654,499,119,0,4754,47309.0
18,84925,39405,6928,920,12142,2556,8059,1172,1646,0,119,0,3801,55797.5
19,87969,36872,4888,2660,1039,3686,18141,675,3773,499,179,299,2655,48499.0
20,25311,44215,4690,3565,2116,3332,5600,1304,1563,499,0,299,3518,37236.0
21,103104,25185,6091,2775,14388,2656,18902,588,2716,199,119,299,1480,39479.0
22,73707,45442,9282,1994,8876,1544,22912,1138,3641,499,179,299,2578,40201.5
23,105305,53759,11433,4384,4018,1391,21792,1484,3339,199,0,299,4820,63865.5
24,48693,43153,8249,5123,13281,6289,7860,858,1853,199,119,299,1553,38287.5
25,91932,79535,2690,3043,9989,2988,13165,785,1963,649,119,599,645,98221.0
26,113016,4581,10719,4626,7546,5085,23332,796,3970,199,119,599,1826,16260.0
27,45658,53717,3495,4757,1824,1296,5334,759,2016,199,119,599,1549,60285.0
28,104478,4763,2892,2341,3534,2086,3767,1350,3550,0,119,599,1698,40492.5
29,38431,57480,10578,5300,6670,5365,14737,974,2901,0,0,599,3570,39958.0
30,22747,40759,11441,1221,14093,4261,16372,1255,827,199,0,599,4613,12759.5
31,79150,78067,7873,1901,13990,6194,24267,1122,3045,649,179,299,3426,69676.0
32,85725,27307,6503,945,8254,6805,23590,1434,3990,0,179,599,3704,25420.0
33,104654,13064,2897,3291,8452,5605,10085,1035,2026,0,179,0,3224,38719.5
34,55773,78848,2710,5022,3571,2116,3744,1061,2892,649,0,599,4424,86656.0
35,87435,39548,5695,4267,3192,2076,23558,536,3190,499,0,0,4785,43082.5
